block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410743280,50,2.068445838960043e-08,1340453282.497991,0.0005014059485003139,,,,
410743282,30,1.1473596581576397e-07,7435447382.8352,0.000506698503318097,,,,
410743284,15,8.456547336917976e-08,5480253059.0168,0.0005049755094555082,,,,
410743284,27,7.302963412526749e-08,4732674694.158774,0.000504379489013412,,,,
410743287,25,8.92126242973275e-06,578141099114.961,0.0,,,,
410743287,85,2.24610409007847e-08,1442829504.730696,0.0005015058291547869,,,,
410743290,7,1.1572672307609304e-07,7433935554.347008,0.0005067413768847777,,,,
410743290,96,6.855495992454139e-08,4403763802.028566,0.000504125318635254,,,,
410743290,105,1.6677977704213178e-08,1071342971.911814,0.0005011825111884273,,,,
410743290,137,9.816880483873234e-08,6306067857.279231,0.0005057786063562085,,,,
410743290,146,1.1074038778074441e-08,711362841.825352,0.0005012688797783151,,,,
410743293,45,3.4250773851698403e-07,22001663810.408096,0.0005193979631280789,,,,
410743301,12,4.0652196933124405e-08,2611374487.332217,0.0005026221698164288,,,,
410743303,12,2.568543161323924e-07,16499546364.3136,0.0005146251097045104,,,,
410743303,38,1.0068917062065876e-07,6467968551.416253,0.0005058821507571612,,,,
410743303,63,3.5762579099138426e-08,2297280189.169664,0.000502295468737833,,,,
410743317,48,7.170681233931879e-07,46062292923.27311,0.0,,,,
410743320,81,2.4619547671138432e-08,1581485467.657086,0.0005017275147139052,,,,
410743321,26,6.892741819859049e-07,44276893978.837585,0.0,,,,
410743321,34,1.8612912887328578e-06,119563737056.73482,0.0,,,,
410743321,106,9.126829051946061e-07,58627996355.77445,0.0,,,,
410743321,262,3.1081355636591574e-07,19965725167.231827,0.0,,,,
410743322,38,1.491631514161405e-08,958179083.651911,0.0005010841912554946,,,,
410743323,58,2.991012032109684e-07,19213358935.567413,0.0,,,,
410743323,75,2.574742208928439e-07,16539367175.933743,0.0,,,,
410743323,81,3.042316512191818e-07,19542923437.56155,0.0,,,,
410743326,162,7.649130842321098e-07,49135708864.057465,0.0,,,,
410743326,173,1.79015885698706e-06,114994404240.88594,0.0,,,,
410743326,223,9.835006452236365e-07,62915763339.37311,0.0,,,,
410743326,247,5.243896588333854e-07,33545860730.24263,0.0,,,,
410743327,48,2.902234010788532e-07,18565953064.192516,0.0,,,,
410743327,90,2.7580407505245604e-07,17643530788.01416,0.0,,,,
410743327,110,3.315279533789564e-07,21208256808.44795,0.0,,,,
410743327,116,3.1298802157105386e-07,20022234239.353577,0.0,,,,
410743327,125,3.0924158158079286e-07,19782569798.931347,0.0,,,,
410743327,128,3.0789245973496473e-07,19696264791.222073,0.0,,,,
410743327,137,4.296156059988089e-07,27483046325.583454,0.0,,,,
410743327,149,3.18269369227124e-08,2036008863.818491,0.0005020304855844674,,,,
410743327,164,2.9227867738234436e-07,18697431653.591984,0.0,,,,
410743327,204,1.1749852313011027e-07,7516527121.646071,0.0,,,,
410743327,236,1.4391890688592424e-07,9206672033.892906,0.0,,,,
410743328,5,1.9570277280548395e-07,12519350544.898876,0.0,,,,
410743328,11,8.828531627998276e-08,5647721831.590728,0.0,,,,
410743328,44,3.0331437983651125e-07,19403399308.277378,0.0,,,,
410743328,84,5.056210757910076e-09,323452110.564022,0.0005005329809578092,,,,
410743328,97,4.0256621052655644e-07,25752662749.049686,0.0,,,,
410743328,103,1.4179483445653666e-07,9070792470.486368,0.0,,,,
410743328,115,7.242635919586587e-08,4633204560.494592,0.0005043695556053233,,,,
410743328,153,2.579212844906321e-07,16499546364.3136,0.0005146819855839891,,,,
410743329,102,1.9586307205698602e-09,125296050.880148,0.0,,,,
410743329,105,2.6588198978349924e-07,17008802614.070951,0.0,,,,
410743329,108,4.94139648142422e-07,31610729804.92088,0.0,,,,
410743329,114,3.1191395787054293e-07,19953525044.37649,0.0,,,,
410743329,129,5.707909456528094e-09,365142089.40639,0.0005005694613787634,,,,
410743329,196,4.54338197519717e-07,29064581350.313164,0.0,,,,
410743330,18,2.2798601177127967e-07,14584549619.718576,0.0,,,,
410743330,30,2.3260252820623727e-07,14879873935.858778,0.0,,,,
410743330,102,4.0544524768797706e-09,259368383.48296,0.000500476968146106,,,,
